a0_sect_0,a0_sect_1,a0_sect_2,a0_sect_3,a0_sect_4,a0_sect_5,acos2_sect_0,acos2_sect_1,acos2_sect_2,acos2_sect_3,acos2_sect_4,acos2_sect_5,acos_sect_0,acos_sect_1,acos_sect_2,acos_sect_3,acos_sect_4,acos_sect_5,pt2_bin,q2_bin,x_bin,z_bin
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15,0,0,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16,0,0,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17,0,0,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18,0,0,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19,0,0,0
115923.875,129249.3671875,110535.2890625,112566.8203125,123052.3046875,127481.03125,-0.035084448754787445,0.013209442608058453,0.07426464557647705,-0.030911657959222794,-0.014827976934611797,0.018143320456147194,-0.273031622171402,-0.23880018293857574,-0.19988368451595306,-0.19615696370601654,-0.18233972787857056,-0.26068365573883057,0,0,0,1
28295.595703125,29074.447265625,26439.025390625,27062.80859375,29104.103515625,30953.517578125,-0.027205782011151314,0.0007455929880961776,0.01859866827726364,-0.02004328742623329,0.018215995281934738,0.027277326211333275,-0.11950886249542236,-0.10849996656179428,-0.08732786774635315,-0.12708479166030884,-0.1291617602109909,-0.1295476257801056,1,0,0,1
3979.475341796875,4044.780517578125,3764.845947265625,3814.918701171875,3999.197021484375,4278.302734375,0.04305513948202133,0.05843251198530197,0.030662603676319122,0.032075583934783936,0.04446515440940857,0.005151079501956701,-0.07777439057826996,-0.09281272441148758,-0.035224899649620056,-0.08372388035058975,-0.11889678239822388,-0.1510043740272522,2,0,0,1
258.003662109375,245.74908447265625,202.5826416015625,265.3316345214844,277.8197326660156,243.57640075683594,0.07801104336977005,-0.17904791235923767,-0.10151563584804535,0.06348009407520294,0.05109260976314545,0.09916825592517853,-0.15538685023784637,-0.11462322622537613,0.22180043160915375,-0.1205853745341301,-0.3056173026561737,0.057686109095811844,3,0,0,1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,0,0,1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0,0,1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,0,0,1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,0,0,1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,0,0,1
